 applications    应用页面（删除后顶部无应用 Tab，打不开设置，不建议删除）
   cloudspace    迅雷云盘
browserhelper    浏览器支持
   diagnostic    网络诊断（可以不删除）
 featuredpage    精选页面（删除后顶部无精选 Tab ）
     feedback    意见反馈
   livestream    直播相关
   liveupdate    直播相关
        myvip    会员中心
onethingcloud    玩客云
  preferences    偏好设置（不建议删除）
  softmanager    应用管理（卸载）
     subtitle    内置字幕下载
  thunderword    迅雷世界
    userlogin    用户登录
     viprenew    会员相关（需要会员功能的不要删除，同时也不要删除用户登录插件）
      viptips    会员相关（需要会员功能的不要删除，同时也不要删除用户登录插件）
      webgame    网络游戏
    xlbrowser    内置浏览器（可以不删除）
     xlplayer    迅雷影音
